date,equity
2019-01-10,94418627.34033747
2019-01-11,94418627.34033747
2019-01-14,94418627.34033747
2019-01-15,94418627.34033747
2019-01-16,94418627.34033747
2019-01-17,94418627.34033747
2019-01-18,94418627.34033747
2019-01-21,94409597.08713198
2019-01-22,94450447.08713198
2019-01-23,94514948.63966198
2019-01-24,93955544.36500318
2019-01-25,93947374.36500318
2019-01-28,93914694.36500318
2019-01-29,93939204.36500318
2019-01-30,93914694.36500318
2019-01-31,93930213.75746818
2019-02-01,93724573.75746818
2019-02-07,93507156.51058818
2019-02-08,93297466.51058818
2019-02-11,93331273.46750678
2019-02-12,93242013.46750678
2019-02-13,93671136.46750678
2019-02-14,93632931.58875678
2019-02-15,93216581.58875678
2019-02-18,93253988.58875678
2019-02-19,93075688.58875678
2019-02-20,93073248.58875678
2019-02-21,93226181.58875678
2019-02-22,93337558.58875678
2019-02-25,93630388.58875678
2019-02-26,93310888.58875678
2019-02-27,93124058.58875678
2019-02-28,93144295.86067678
2019-03-04,93023393.18841428
2019-03-05,92917781.94526227
2019-03-06,92880904.62750226
2019-03-07,93482994.52876177
2019-03-08,92993694.86751178
2019-03-11,93515958.83689457
2019-03-12,93668801.02466682
2019-03-13,94207341.02466682
2019-03-14,94226373.02466682
2019-03-15,94908679.57526682
2019-03-18,95651979.47395802
2019-03-19,95001717.47395802
2019-03-20,96239682.90672763
2019-03-21,95641257.90672763
2019-03-22,95614863.90672763
2019-03-25,95097439.90672763
2019-03-26,96305909.90672763
2019-03-27,96417187.50613283
2019-03-28,95972747.40173283
2019-03-29,96427090.40173283
2019-04-01,96154687.40173283
2019-04-02,96024171.40173283
2019-04-03,95850692.02538183
2019-04-04,95717864.02538183
2019-04-05,95492368.51074183
2019-04-08,95578977.32394183
2019-04-09,95475810.60276544
2019-04-10,96094410.60276544
2019-04-11,96425610.60276544
2019-04-12,96617010.60276544
2019-04-15,96570096.61596903
2019-04-16,95854453.33731773
2019-04-17,95635931.66084093
2019-04-18,94747215.43956733
2019-04-19,94343753.32580683
2019-04-22,94424609.32580683
2019-04-23,94228717.67160058
2019-04-24,94508917.67160058
2019-04-25,93762259.67160058
2019-04-26,94129831.67160058
2019-04-29,94153628.30115402
2019-04-30,94259428.30115402
2019-05-02,94379012.30115402
2019-05-03,93832012.30115402
2019-05-07,94292912.30115402
2019-05-08,94328154.30115402
2019-05-09,93908054.30115402
2019-05-10,93654954.30115402
2019-05-13,93444339.35767402
2019-05-14,93444339.35767402
2019-05-15,93444339.35767402
2019-05-16,93339597.35767402
2019-05-17,93286697.35767402
2019-05-20,93181955.35767402
2019-05-21,93391439.35767402
2019-05-22,93391439.35767402
2019-05-23,93391439.35767402
2019-05-24,93497239.35767402
