code,name,market_code,market
016670,디모아,KSQ,코스닥
187870,디바이스,KSQ,코스닥
024090,디씨엠,STK,유가증권
003160,디아이,STK,유가증권
092200,디아이씨,STK,유가증권
110990,디아이티,KSQ,코스닥
263690,디알젬,KSQ,코스닥
214680,디알텍,KSQ,코스닥
347850,디앤디파마텍,KSQ,코스닥
263720,디앤씨미디어,KSQ,코스닥
376300,디어유,KSQ,코스닥
104040,디에스엠,KSQ,코스닥
109740,디에스케이,KSQ,코스닥
031860,디에이치엑스컴퍼니,KSQ,코스닥
196490,디에이테크놀로지,KSQ,코스닥
066900,디에이피,KSQ,코스닥
092070,디엔에프,KSQ,코스닥
039840,디오,KSQ,코스닥
013570,디와이,STK,유가증권
024900,디와이덕양,STK,유가증권
219550,디와이디,KSQ,코스닥
310870,디와이씨,KSQ,코스닥
002880,디와이에이,STK,유가증권
210540,디와이파워,STK,유가증권
104460,디와이피엔에프,KSQ,코스닥
113810,디젠스,KSQ,코스닥
043360,디지아이,KSQ,코스닥
197140,디지캡,KSQ,코스닥
068930,디지털대성,KSQ,코스닥
033130,디지틀조선,KSQ,코스닥
105740,디케이락,KSQ,코스닥
263020,디케이앤디,KSQ,코스닥
290550,디케이티,KSQ,코스닥
066670,디티씨,KSQ,코스닥
187220,디티앤씨,KSQ,코스닥
383930,디티앤씨알오,KSQ,코스닥
131180,딜리,KSQ,코스닥
315640,딥노이드,KSQ,코스닥
900110,딥커머스,KSQ,코스닥
317120,라닉스,KSQ,코스닥
462510,라메디텍,KSQ,코스닥
232680,라온로보틱스,KSQ,코스닥
042510,라온시큐어,KSQ,코스닥
418420,라온텍,KSQ,코스닥
300120,라온피플,KSQ,코스닥
171120,라이온켐텍,KSQ,코스닥
388790,라이콤,KSQ,코스닥
214260,라파스,KSQ,코스닥
171010,램테크놀러지,KSQ,코스닥
084650,랩지노믹스,KSQ,코스닥
217500,러셀,KSQ,코스닥
038390,레드캡투어,KSQ,코스닥
387690,레메디,KSQ,코스닥
294140,레몬,KSQ,코스닥
365660,레몬헬스케어,KSQ,코스닥
443250,레뷰코퍼레이션,KSQ,코스닥
228670,레이,KSQ,코스닥
228850,레이언스,KSQ,코스닥
412350,레이저쎌,KSQ,코스닥
199550,레이저옵텍,KSQ,코스닥
281740,레이크머티리얼즈,KSQ,코스닥
277810,레인보우로보틱스,KSQ,코스닥
215100,로보로보,KSQ,코스닥
090360,로보스타,KSQ,코스닥
108490,로보티즈,KSQ,코스닥
900260,로스웰,KSQ,코스닥
033290,로젠,KSQ,코스닥
067730,로지시스,KSQ,코스닥
071280,로체시스템즈,KSQ,코스닥
376900,로킷헬스케어,KSQ,코스닥
214610,롤링스톤,KSQ,코스닥
032350,롯데관광개발,STK,유가증권
089860,롯데렌탈,STK,유가증권
000400,롯데손해보험,STK,유가증권
023530,롯데쇼핑,STK,유가증권
020150,롯데에너지머티리얼즈,STK,유가증권
280360,롯데웰푸드,STK,유가증권
286940,롯데이노베이트,STK,유가증권
004000,롯데정밀화학,STK,유가증권
004990,롯데지주,STK,유가증권
005300,롯데칠성,STK,유가증권
011170,롯데케미칼,STK,유가증권
071840,롯데하이마트,STK,유가증권
328130,루닛,KSQ,코스닥
038060,루멘스,KSQ,코스닥
474170,루미르,KSQ,코스닥
195990,루트K,KSQ,코스닥
141080,리가켐바이오,KSQ,코스닥
058470,리노공업,KSQ,코스닥
016100,리더스코스메틱,KSQ,코스닥
012700,리드코프,KSQ,코스닥
302550,리메드,KSQ,코스닥
491000,리브스메드,KSQ,코스닥
394420,리센스메디컬,KSQ,코스닥
073570,리튬포어스,KSQ,코스닥
377450,리파인,KSQ,코스닥
277070,린드먼아시아,KSQ,코스닥
042500,링네트,KSQ,코스닥
193250,링크드,KSQ,코스닥
474650,링크솔루션,KSQ,코스닥
219420,링크제니시스,KSQ,코스닥
439090,마녀공장,KSQ,코스닥
027740,마니커,STK,유가증권
195500,마니커에프앤지,KSQ,코스닥
377480,마음AI,KSQ,코스닥
305090,마이크로디지탈,KSQ,코스닥
098120,마이크로컨텍솔,KSQ,코스닥
424980,마이크로투나노,KSQ,코스닥
038290,마크로젠,KSQ,코스닥
477850,마키나락스,KSQ,코스닥
001080,만호제강,STK,유가증권
0039P0,매드업,KSQ,코스닥
267980,매일유업,KSQ,코스닥
005990,매일홀딩스,KSQ,코스닥
093520,매커스,KSQ,코스닥
088980,맥쿼리인프라,STK,유가증권
094800,맵스리얼티,STK,유가증권
100590,머큐리,KSQ,코스닥
067280,멀티캠퍼스,KSQ,코스닥
072870,메가스터디,KSQ,코스닥
215200,메가스터디교육,KSQ,코스닥
133750,메가엠디,KSQ,코스닥
446540,메가터치,KSQ,코스닥
235980,메드팩토,KSQ,코스닥
041920,메디아나,KSQ,코스닥
014100,메디앙스,KSQ,코스닥
